# evidence: insight_bench_session_facts_app_version_health
# what: read_rows, read_bytes, result_rows, tables and EXPLAIN key condition per filter shape for session_facts_app_version_health
# run_utc: 2026-08-01 17:58:37
# git: bd04d14-dirty
# host: ss-cric
# row_count: 2188714
# event_watermark: 2026-08-01 17:07:20.017
# frozen_before: 2026-08-01
# frozen_slice_rows: 905558   (event_timestamp < frozen_before, the validated corpus)
# ingest_watermark: 2026-08-01 17:34:51   (NOT REPRODUCIBLE, see below)
# ingest_watermark_warning: ingested_at was added by ALTER after the July rows were loaded.
#   ClickHouse does not rewrite existing parts, so for those 905,558 rows the DEFAULT now()
#   is evaluated AT READ TIME and the column equals the wall clock of whichever query reads
#   it. Proven in evidence/ingested_at_nondeterminism. Do not filter on it.
shape	cold_ms	warm_ms	read_rows	read_bytes	result_rows	memory_bytes	tables_read	raw_scan	key_condition
unfiltered	27	20	21733	2069549	65	41234436	phoenix_next.session_insight_facts	no	and((session_start in (-Inf, '1785542400')), and((session_start in (-Inf, '1785110400')), (session_start in ['1785024000', +Inf)))) ; granules 3/3
platform	17	17	21732	2091566	24	42318382	phoenix_next.session_insight_facts	no	and((session_start in (-Inf, '1785542400')), and((session_start in (-Inf, '1785110400')), and((session_start in ['1785024000', +Inf)), (platform in ['ANDROID_PHONE', 'ANDROID_PHONE'])))) ; granules 2/3
country	22	41	21733	2091345	65	43592016	phoenix_next.session_insight_facts	no	and((session_start in (-Inf, '1785542400')), and((session_start in (-Inf, '1785110400')), and((session_start in ['1785024000', +Inf)), (country in ['india', 'india'])))) ; granules 3/3
content	ERR	ERR	ERR	ERR	ERR	ERR	ERR	no	and((session_start in (-Inf, '1785542400')), and((session_start in (-Inf, '1785110400')), and((session_start in ['1785024000', +Inf)), (content_id in [2078157818, 2078157818])))) ; granules 2/3
app_version	39	16	21733	2069458	1	30245554	phoenix_next.session_insight_facts	no	and((session_start in (-Inf, '1785542400')), and((session_start in (-Inf, '1785110400')), (session_start in ['1785024000', +Inf)))) ; granules 3/3
platform+country	17	17	21732	2113340	24	39627729	phoenix_next.session_insight_facts	no	and((session_start in (-Inf, '1785542400')), and((session_start in (-Inf, '1785110400')), and((session_start in ['1785024000', +Inf)), and((country in ['india', 'india']), (platform in ['ANDROID_PHONE', 'ANDROID_PHONE']))))) ; granules 2/3
#	query	sql/insights/benchmark/session_facts_app_version_health.sql
#	window	2026-07-26 00:00:00 -> 2026-07-27 00:00:00
#	service	26.2.1.525
#	use_query_cache	0
gate.raw_events_in_plan	0	(required 0)	PASS
